DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,3,66.66666666666667,RandomForest,None,SMOTE,None,0.6407766990291263,0.7333333333333333,0.8657511444028297,0.5675820575445287,66.0,37.0,230.0,24.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,SMOTE,None,0.8441558441558441,0.7222222222222222,0.8882022471910113,0.711335474988527,65.0,12.0,255.0,25.0
BOOKKEEPER,3,66.66666666666667,IBk,None,SMOTE,None,0.6407766990291263,0.7333333333333333,0.8390761548064919,0.5675820575445287,66.0,37.0,230.0,24.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst,SMOTE,None,0.7272727272727273,0.7111111111111111,0.8912817311693716,0.625833228524714,64.0,24.0,243.0,26.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst,SMOTE,None,0.8734177215189873,0.7666666666666667,0.9124427798585102,0.7600026023030381,69.0,10.0,257.0,21.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst,SMOTE,None,0.65,0.7222222222222222,0.8448605909280067,0.5701384708007226,65.0,35.0,232.0,25.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,SMOTE,SensitiveLearning,0.41714285714285715,0.8111111111111111,0.78006658343737,0.3267886855241263,73.0,102.0,165.0,17.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,SMOTE,SensitiveLearning,0.41714285714285715,0.8111111111111111,0.78006658343737,0.3267886855241263,73.0,102.0,165.0,17.0
BOOKKEEPER,3,66.66666666666667,IBk,None,SMOTE,SensitiveLearning,0.41714285714285715,0.8111111111111111,0.78006658343737,0.3267886855241263,73.0,102.0,165.0,17.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst,SMOTE,SensitiveLearning,0.4052631578947368,0.8555555555555555,0.7382438618393674,0.31596715328467156,77.0,113.0,154.0,13.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst,SMOTE,SensitiveLearning,0.4052631578947368,0.8555555555555555,0.7382438618393674,0.31596715328467156,77.0,113.0,154.0,13.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst,SMOTE,SensitiveLearning,0.4052631578947368,0.8555555555555555,0.7382438618393674,0.31596715328467156,77.0,113.0,154.0,13.0
BOOKKEEPER,4,77.38439306358381,RandomForest,None,None,None,0.7441860465116279,0.6153846153846154,0.8325228411435308,0.615920516169893,32.0,11.0,250.0,20.0
BOOKKEEPER,4,77.38439306358381,NaiveBayes,None,None,None,0.875,0.2692307692307692,0.9267241379310345,0.36187563710499504,14.0,2.0,259.0,38.0
