@relation storm_trainingSet7.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute LOC_REMOVED numeric
@attribute AVG_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute CHURN numeric
@attribute AVG_CHURN numeric
@attribute MAX_CHURN numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES','NO'}

@data
153,462,115.5,153,3,0.75,3,459,114.75,153,4,0,2,NO
68,215,30.714285714285715,75,11,1.5714285714285714,6,218,31.142857142857142,75,7,0,2,NO
22,159,19.875,94,93,11.625,44,218,27.25,94,8,0,2,NO
120,371,41.22222222222222,114,11,1.2222222222222223,4,360,40.0,114,9,0,5,NO
111,419,38.09090909090909,111,86,7.818181818181818,51,343,31.181818181818183,111,11,0,2,NO
27,92,15.333333333333334,33,11,1.8333333333333333,7,93,15.5,33,6,0,2,NO
59,201,25.125,59,24,3.0,10,177,22.125,59,8,0,2,NO
28,95,15.833333333333334,35,11,1.8333333333333333,8,98,16.333333333333332,35,6,0,2,NO
100,114,38.0,84,14,4.666666666666667,12,116,38.666666666666664,84,3,0,1,NO
122,30,7.5,14,57,14.25,35,39,9.75,26,4,0,1,NO
146,200,50.0,177,54,13.5,42,218,54.5,177,4,0,1,NO
76,0,0.0,0,1,1.0,1,1,1.0,1,1,0,1,NO
52,54,27.0,49,2,1.0,2,52,26.0,49,2,0,1,NO
88,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
40,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
32,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
40,40,20.0,26,0,0.0,0,40,20.0,26,2,0,1,NO
51,2,2.0,2,2,2.0,2,0,0.0,0,1,0,1,NO
81,13,13.0,13,5,5.0,5,8,8.0,8,1,0,1,NO
35,1,1.0,1,1,1.0,1,0,0.0,0,1,0,1,NO
46,1,1.0,1,1,1.0,1,0,0.0,0,1,0,1,NO
46,2,2.0,2,2,2.0,2,0,0.0,0,1,0,1,NO
27,30,15.0,29,3,1.5,3,31,15.5,29,2,0,1,NO
12,12,12.0,12,0,0.0,0,12,12.0,12,1,0,1,NO
280,372,124.0,209,92,30.666666666666668,87,280,93.33333333333333,147,3,0,1,NO
29,30,15.0,30,1,0.5,1,31,15.5,30,2,0,1,NO
14,14,14.0,14,0,0.0,0,14,14.0,14,1,0,1,NO
73,73,73.0,73,0,0.0,0,73,73.0,73,1,0,1,NO
54,54,27.0,49,0,0.0,0,54,27.0,49,2,0,1,NO
83,83,83.0,83,0,0.0,0,83,83.0,83,1,0,1,NO
38,38,38.0,38,0,0.0,0,38,38.0,38,1,0,1,NO
32,32,32.0,32,0,0.0,0,32,32.0,32,1,0,1,NO
40,40,20.0,26,0,0.0,0,40,20.0,26,2,0,1,NO
50,50,50.0,50,0,0.0,0,50,50.0,50,1,0,1,NO
81,81,81.0,81,0,0.0,0,81,81.0,81,1,0,1,NO
35,35,35.0,35,0,0.0,0,35,35.0,35,1,0,1,NO
46,46,46.0,46,0,0.0,0,46,46.0,46,1,0,1,NO
46,46,46.0,46,0,0.0,0,46,46.0,46,1,0,1,NO
183,183,183.0,183,0,0.0,0,183,183.0,183,1,0,1,NO
192,192,192.0,192,0,0.0,0,192,192.0,192,1,0,1,NO
80,80,80.0,80,0,0.0,0,80,80.0,80,1,0,1,NO
71,71,71.0,71,0,0.0,0,71,71.0,71,1,0,1,NO
69,69,69.0,69,0,0.0,0,69,69.0,69,1,0,1,NO
78,630,45.0,78,6,0.42857142857142855,2,626,44.714285714285715,78,14,0,7,YES
87,701,53.92307692307692,87,5,0.38461538461538464,2,698,53.69230769230769,87,13,0,7,YES
68,544,60.44444444444444,68,0,0.0,0,544,60.44444444444444,68,9,0,6,YES
58,479,34.214285714285715,58,31,2.2142857142857144,10,454,32.42857142857143,58,14,0,7,YES
196,1573,121.0,196,5,0.38461538461538464,2,1570,120.76923076923077,196,13,0,7,YES
78,682,68.2,78,4,0.4,4,678,67.8,78,10,0,7,YES
64,512,56.888888888888886,64,0,0.0,0,512,56.888888888888886,64,9,0,6,YES
173,1384,153.77777777777777,173,0,0.0,0,1384,153.77777777777777,173,9,0,6,YES
246,1968,218.66666666666666,246,0,0.0,0,1968,218.66666666666666,246,9,0,6,YES
107,861,66.23076923076923,107,5,0.38461538461538464,2,858,66.0,107,13,0,7,YES
110,880,97.77777777777777,110,0,0.0,0,880,97.77777777777777,110,9,0,6,YES
58,464,51.55555555555556,58,0,0.0,0,464,51.55555555555556,58,9,0,6,YES
37,296,32.888888888888886,37,0,0.0,0,296,32.888888888888886,37,9,0,6,YES
142,1136,126.22222222222223,142,0,0.0,0,1136,126.22222222222223,142,9,0,6,YES
114,912,101.33333333333333,114,0,0.0,0,912,101.33333333333333,114,9,0,6,YES
59,472,52.44444444444444,59,0,0.0,0,472,52.44444444444444,59,9,0,6,YES
64,512,56.888888888888886,64,0,0.0,0,512,56.888888888888886,64,9,0,6,YES
164,1412,108.61538461538461,164,268,20.615384615384617,99,1144,88.0,164,13,0,7,YES
70,560,62.22222222222222,70,0,0.0,0,560,62.22222222222222,70,9,0,6,YES
32,256,28.444444444444443,32,0,0.0,0,256,28.444444444444443,32,9,0,6,YES
148,1184,131.55555555555554,148,0,0.0,0,1184,131.55555555555554,148,9,0,6,YES
156,1248,138.66666666666666,156,0,0.0,0,1248,138.66666666666666,156,9,0,6,YES
119,952,105.77777777777777,119,0,0.0,0,952,105.77777777777777,119,9,0,6,YES
118,944,104.88888888888889,118,0,0.0,0,944,104.88888888888889,118,9,0,6,YES
156,1248,138.66666666666666,156,0,0.0,0,1248,138.66666666666666,156,9,0,6,YES
85,685,52.69230769230769,85,5,0.38461538461538464,2,682,52.46153846153846,85,13,0,7,YES
39,320,32.0,39,0,0.0,0,320,32.0,39,10,0,7,YES
33,264,29.333333333333332,33,0,0.0,0,264,29.333333333333332,33,9,0,6,YES
146,1168,129.77777777777777,146,0,0.0,0,1168,129.77777777777777,146,9,0,6,YES
113,904,100.44444444444444,113,0,0.0,0,904,100.44444444444444,113,9,0,6,YES
147,1176,130.66666666666666,147,0,0.0,0,1176,130.66666666666666,147,9,0,6,YES
40,320,35.55555555555556,40,0,0.0,0,320,35.55555555555556,40,9,0,6,YES
125,1000,111.11111111111111,125,0,0.0,0,1000,111.11111111111111,125,9,0,6,YES
252,2016,224.0,252,0,0.0,0,2016,224.0,252,9,0,6,YES
368,2944,327.1111111111111,368,0,0.0,0,2944,327.1111111111111,368,9,0,6,YES
106,848,94.22222222222223,106,0,0.0,0,848,94.22222222222223,106,9,0,6,YES
181,1448,160.88888888888889,181,0,0.0,0,1448,160.88888888888889,181,9,0,6,YES
81,652,54.333333333333336,81,4,0.3333333333333333,2,648,54.0,81,12,0,8,YES
25,206,18.727272727272727,25,6,0.5454545454545454,4,200,18.181818181818183,25,11,0,7,YES
147,1187,84.78571428571429,147,21,1.5,7,1166,83.28571428571429,147,14,0,8,YES
