@relation bookkeeper_trainingSet3.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
529,9,2.25,5,13,3.25,8,4,1.0,3,4,0,1,YES
694,193,19.3,48,102,10.2,44,107,10.7,43,10,7,3,YES
148,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
174,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
148,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
92,2,2.0,2,2,2.0,2,0,0.0,0,1,0,1,NO
77,77,77.0,77,0,0.0,0,77,77.0,77,1,0,1,NO
664,666,333.0,665,1,0.5,1,665,332.5,665,2,0,1,NO
55,55,55.0,55,0,0.0,0,55,55.0,55,1,0,1,NO
256,109,21.8,33,49,9.8,14,60,12.0,19,5,2,2,YES
54,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
38,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
98,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
39,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
47,47,47.0,47,0,0.0,0,47,47.0,47,1,0,1,NO
69,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
43,43,43.0,43,0,0.0,0,43,43.0,43,1,0,1,NO
94,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
72,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
42,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
48,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
63,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
318,86,28.666666666666668,47,5,1.6666666666666667,4,81,27.0,47,3,1,2,YES
136,3,3.0,3,0,0.0,0,3,3.0,3,1,1,1,YES
141,4,4.0,4,0,0.0,0,4,4.0,4,1,1,1,YES
190,15,15.0,15,2,2.0,2,13,13.0,13,1,1,1,YES
46,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
165,59,59.0,59,22,22.0,22,37,37.0,37,1,0,1,NO
162,13,13.0,13,0,0.0,0,13,13.0,13,1,0,1,NO
58,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
148,9,9.0,9,10,10.0,10,1,1.0,1,1,0,1,YES
74,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
36,36,36.0,36,0,0.0,0,36,36.0,36,1,1,1,YES
37,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
38,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
39,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
96,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
88,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
71,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
114,14,14.0,14,14,14.0,14,0,0.0,0,1,1,1,YES
342,42,42.0,42,36,36.0,36,6,6.0,6,1,1,1,YES
84,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
58,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
129,7,7.0,7,1,1.0,1,6,6.0,6,1,1,1,YES
363,5,5.0,5,11,11.0,11,6,6.0,6,1,1,1,YES
242,12,12.0,12,1,1.0,1,11,11.0,11,1,1,1,YES
682,120,30.0,38,24,6.0,14,96,24.0,37,4,2,1,YES
366,1,1.0,1,1,1.0,1,0,0.0,0,1,1,1,YES
103,5,5.0,5,1,1.0,1,4,4.0,4,1,1,1,YES
41,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
66,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
63,9,9.0,9,0,0.0,0,9,9.0,9,1,0,1,NO
47,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
183,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
49,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
50,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
98,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
143,5,5.0,5,0,0.0,0,5,5.0,5,1,1,1,YES
43,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
42,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
56,3,3.0,3,3,3.0,3,0,0.0,0,1,1,1,YES
162,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
6523,6504,6504.0,6504,6348,6348.0,6348,156,156.0,156,1,0,1,YES
153,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
43,1,1.0,1,1,1.0,1,0,0.0,0,1,1,1,YES
41,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
400,407,135.66666666666666,397,7,2.3333333333333335,4,400,133.33333333333334,397,3,1,2,YES
425,428,214.0,424,3,1.5,3,425,212.5,424,2,1,1,YES
1041,1057,528.5,1029,16,8.0,16,1041,520.5,1029,2,1,1,YES
92,92,92.0,92,0,0.0,0,92,92.0,92,1,0,1,NO
355,357,178.5,357,2,1.0,2,359,179.5,357,2,1,1,YES
123,123,123.0,123,0,0.0,0,123,123.0,123,1,0,1,NO
105,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
105,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
92,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
101,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
45,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
299,12,6.0,8,2,1.0,2,10,5.0,8,2,1,1,YES
32,1,1.0,1,1,1.0,1,0,0.0,0,1,1,1,YES
111,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
35,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
85,4,4.0,4,0,0.0,0,4,4.0,4,1,1,1,YES
27,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
28,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
36,7,3.5,5,0,0.0,0,7,3.5,5,2,2,1,YES
574,11,5.5,8,3,1.5,3,8,4.0,5,2,1,1,YES
67,3,3.0,3,0,0.0,0,3,3.0,3,1,0,1,NO
29,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
72,8,8.0,8,0,0.0,0,8,8.0,8,1,0,1,NO
37,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
51,52,26.0,51,1,0.5,1,51,25.5,51,2,1,1,YES
31,31,31.0,31,0,0.0,0,31,31.0,31,1,0,1,NO
77,9,9.0,9,0,0.0,0,9,9.0,9,1,0,1,YES
168,14,14.0,14,0,0.0,0,14,14.0,14,1,0,1,YES
81,10,10.0,10,1,1.0,1,9,9.0,9,1,0,1,YES
37,37,37.0,37,0,0.0,0,37,37.0,37,1,0,1,NO
27,27,27.0,27,0,0.0,0,27,27.0,27,1,0,1,NO
48,48,48.0,48,0,0.0,0,48,48.0,48,1,0,1,NO
