RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,AVG_LOC_ADDED,MAX_LOC_ADDED,LOC_REMOVED,AVG_LOC_REMOVED,MAX_LOC_REMOVED,CHURN,AVG_CHURN,MAX_CHURN,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,68,79,39.5,68,11,5.5,11,68,34.0,68,2,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,154,165,55.0,153,11,3.6666666666666665,9,154,51.333333333333336,153,3,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,72,73,36.5,72,1,0.5,1,72,36.0,72,2,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,385,400,66.66666666666667,364,15,2.5,8,385,64.16666666666667,364,6,1,3,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,76,78,39.0,76,2,1.0,2,76,38.0,76,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,159,163,54.333333333333336,158,4,1.3333333333333333,2,159,53.0,158,3,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,737,886,295.3333333333333,736,149,49.666666666666664,144,737,245.66666666666666,736,3,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,74,76,38.0,74,2,1.0,2,74,37.0,74,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,94,97,32.333333333333336,93,3,1.0,2,94,31.333333333333332,93,3,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,22,22,22.0,22,0,0.0,0,22,22.0,22,1,0,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,427,439,146.33333333333334,426,12,4.0,10,427,142.33333333333334,426,3,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,62,62,62.0,62,0,0.0,0,62,62.0,62,1,0,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,58,59,29.5,58,1,0.5,1,58,29.0,58,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,91,96,48.0,91,5,2.5,5,91,45.5,91,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,27,28,14.0,27,1,0.5,1,27,13.5,27,2,0,2,NO
