DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
STORM,8,76.87206857512534,IBk,None,SMOTE,SensitiveLearning,0.035024154589371984,0.7435897435897436,0.6963077660417704,0.01561912347071968,29.0,799.0,592.0,10.0
STORM,8,76.87206857512534,RandomForest,BestFirst,SMOTE,SensitiveLearning,0.03451676528599606,0.8974358974358975,0.7457556821323895,0.014724910247298257,35.0,979.0,412.0,4.0
STORM,8,76.87206857512534,NaiveBayes,BestFirst,SMOTE,SensitiveLearning,0.03451676528599606,0.8974358974358975,0.7457556821323895,0.014724910247298257,35.0,979.0,412.0,4.0
STORM,8,76.87206857512534,IBk,BestFirst,SMOTE,SensitiveLearning,0.03451676528599606,0.8974358974358975,0.7457556821323895,0.014724910247298257,35.0,979.0,412.0,4.0
STORM,9,81.20567375886525,RandomForest,None,None,None,0.25,0.0196078431372549,0.5096547314578005,0.03134219701904031,1.0,3.0,1377.0,50.0
STORM,9,81.20567375886525,NaiveBayes,None,None,None,NaN,0.0,0.5747868712702472,0.0,0.0,0.0,1380.0,51.0
STORM,9,81.20567375886525,IBk,None,None,None,0.21428571428571427,0.058823529411764705,0.5266552998010798,0.07815519669822,3.0,11.0,1369.0,48.0
STORM,9,81.20567375886525,RandomForest,BestFirst,None,None,NaN,0.0,0.5,0.0,0.0,0.0,1380.0,51.0
STORM,9,81.20567375886525,NaiveBayes,BestFirst,None,None,NaN,0.0,0.5,0.0,0.0,0.0,1380.0,51.0
STORM,9,81.20567375886525,IBk,BestFirst,None,None,NaN,0.0,0.5,0.0,0.0,0.0,1380.0,51.0
STORM,9,81.20567375886525,RandomForest,None,None,SensitiveLearning,0.05830903790087463,0.39215686274509803,0.5466680875248651,0.04208173546030105,20.0,323.0,1057.0,31.0
STORM,9,81.20567375886525,NaiveBayes,None,None,SensitiveLearning,NaN,0.0,0.5747868712702472,0.0,0.0,0.0,1380.0,51.0
STORM,9,81.20567375886525,IBk,None,None,SensitiveLearning,0.047337278106508875,0.3137254901960784,0.5262219380505826,0.02167056376787429,16.0,322.0,1058.0,35.0
STORM,9,81.20567375886525,RandomForest,BestFirst,None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,1380.0,51.0
STORM,9,81.20567375886525,NaiveBayes,BestFirst,None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,1380.0,51.0
STORM,9,81.20567375886525,IBk,BestFirst,None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,1380.0,51.0
STORM,9,81.20567375886525,RandomForest,None,SMOTE,None,0.26666666666666666,0.0784313725490196,0.5002912759306621,0.10674157303370874,4.0,11.0,1369.0,47.0
STORM,9,81.20567375886525,NaiveBayes,None,SMOTE,None,NaN,0.0,0.6319764137539073,0.0,0.0,0.0,1380.0,51.0
STORM,9,81.20567375886525,IBk,None,SMOTE,None,0.23529411764705882,0.0784313725490196,0.5260230179028133,0.10163852093665751,4.0,13.0,1367.0,47.0
STORM,9,81.20567375886525,RandomForest,BestFirst,SMOTE,None,0.15789473684210525,0.058823529411764705,0.5406294401818699,0.06767652088932251,3.0,16.0,1364.0,48.0
STORM,9,81.20567375886525,NaiveBayes,BestFirst,SMOTE,None,0.0,0.0,0.6323742540494459,-0.003975678203928423,0.0,3.0,1377.0,51.0
STORM,9,81.20567375886525,IBk,BestFirst,SMOTE,None,0.10344827586206896,0.058823529411764705,0.5045893719806763,0.05046537902835363,3.0,26.0,1354.0,48.0
STORM,9,81.20567375886525,RandomForest,None,SMOTE,SensitiveLearning,0.033003300330033,0.39215686274509803,0.5410485933503836,-0.005205184691838806,20.0,586.0,794.0,31.0
STORM,9,81.20567375886525,NaiveBayes,None,SMOTE,SensitiveLearning,0.033003300330033,0.39215686274509803,0.5410485933503836,-0.005205184691838806,20.0,586.0,794.0,31.0
STORM,9,81.20567375886525,IBk,None,SMOTE,SensitiveLearning,0.033003300330033,0.39215686274509803,0.5410485933503836,-0.005205184691838806,20.0,586.0,794.0,31.0
STORM,9,81.20567375886525,RandomForest,BestFirst,SMOTE,SensitiveLearning,0.033003300330033,0.39215686274509803,0.5410628019323671,-0.005205184691838806,20.0,586.0,794.0,31.0
STORM,9,81.20567375886525,NaiveBayes,BestFirst,SMOTE,SensitiveLearning,0.033003300330033,0.39215686274509803,0.5410628019323671,-0.005205184691838806,20.0,586.0,794.0,31.0
STORM,9,81.20567375886525,IBk,BestFirst,SMOTE,SensitiveLearning,0.033003300330033,0.39215686274509803,0.5410628019323671,-0.005205184691838806,20.0,586.0,794.0,31.0
